respondent id,question code,comments,hide comment,language id,edited text,english translation,positive sentiment probability,neutral sentiment probability,negative sentiment probability,sentiment category
18686541,ctt|comments,การเปลี่ยนแปลง = พัฒนา,FALSE,en,,,,,,
18686373,ctt|comments,คิดว่าเทคโนโลยีและนวัตกรรมใหม่ๆน่าจะมีผลกับการปรับตัวขององค์กร,FALSE,en,,,,,,
18686533,ctt|comments,ควรมีจัดให้ความรู้เกี่ยวกับการใช้เทคโนโลยีในงานที่รับมอบหมาย สำหรับขั้นพื้นฐาน quarter ประมานปีละ 2 ครั้ง,FALSE,en,,,,,,
18686862,ctt|comments,เนื่องจากปัจจุบันเทคโนโลยีมีการเปลี่ยนแปลงรวดเร็ว ดังนั้นเราต้องทำให้ตัวเรามีแนวคิดและทัศนคติในเชิงบวกและมีความยืดหยุ่นในการทำงานและการเรียนรู้ เพื่อรองรับสถานการณ์ที่เปลี่ยนแปลง ให้มีประสิทธิภาพมากขึ้นเรื่อยๆ,FALSE,en,,,,,,
18686847,ctt|comments,-,FALSE,en,,,,,,
18686860,ctt|comments,-,FALSE,en,,,,,,
18686734,ctt|comments,ไม่มี,FALSE,en,,,,,,
18686786,ctt|comments,it Security บางครั้งเข้มงวดเกินไป และเป็นอุปสรรคในการสร้างสรรค์สิ่งใหม่ๆ หรือบางครั้งไม่ชี้แจงเหตุผลหรือข้อบังคับให้ชัดเจนทำให้ดำเนินการแก้ไขงานเพื่อตอบสนองข้อบังคับได้ยากขึ้น,FALSE,en,,,,,,
18686662,ctt|comments,-,FALSE,en,,,,,,
18686829,ctt|comments,"บริษัทที่ทำเกี่ยวกับเทคโนโลยี Tool อุปกรณ์ software, service ควรจะสะดวกและพร้อมสำหรับพนักงาน เช่น เครื่องที่ใช้ทำงาน อุปกรณ์จำเป็นที่ต้องใช้งาน ลงโปรแกรมหรือแก้ปัญหาด้าน hardware software ควร remote service ได้",FALSE,en,,,,,,
18686776,ctt|comments,โลกหมุนไว เราต้องปรับตัวเพื่อสิ่งที่ดีกว่ากับตัวเองและองค์กร,FALSE,en,,,,,,
18686442,ctt|comments,Process ยังไม่มี standard และยังขาดการเพิ่มทักษะ และพัฒนาให้ทันกับ technology ที่เปลี่ยนไปอย่างรวดเร็ว,FALSE,en,,,,,,
18686412,ctt|comments,เปลี่ยนแปลงแนวทาง และ เปิดรับสิ่งใหม่ๆ ได้ แต่ไม่ควรไว และถี่จนเกินไป และควรมั่นใจระดับนึงว่าที่จะเปลี่ยนแปลงมันมีโอกาสเป็นไปในทิศทางที่ดีขึ้น ไม่ใช่แค่การทดลองแบบไม่มีแบบแผน หรือ การเตรียมการอะไร เพราะทุกครั้งที่มีการเปลี่ยนแปลงต้องมีการปรับตัว transfer ซึ่งบ่อยครั้ง อาจจะกระทบกับ process อะไรที่ทำได้ดีอยู่แล้วตามไปด้วยเช่นกัน และมักสร้างความรู้สึกเหนื่อยในการต้องวิ่งตามทั้งกับตัวเอง ทีมงานและการปฏิบัติงานที่ทำอยู่,FALSE,en,,,,,,
18686842,ctt|comments,-,FALSE,en,,,,,,
18686658,ctt|comments,กระบวนการทำงานในปัจจุบัน ขั้นตอน/ พิธีรีตองเยอะ  ยากต่อการต่อเปลี่ยนแปลงอย่างรวดเร็ว,FALSE,en,,,,,,
18686853,ctt|comments,Not enough process improvement and learning both in technical and coaching (soft skill).,FALSE,en,,,,,,
18686355,ctt|comments,training course ที่จัดขึ้นไม่ได้กระจายให้พนักงานทุกคนอย่างทั่วถึง เช่น ฝั่ง Arise มีโอกาสได้เทรนมากกว่าฝั่ง Infinitas,FALSE,en,,,,,,
18686675,ctt|comments,-,FALSE,en,,,,,,
18686507,ctt|comments,-,FALSE,en,,,,,,
18686718,ctt|comments,Team work เป็นส่วนสำคัญในการขับเคลื่อนทำให้เกิด outcome ที่มีประสิทธิภาพและประสิทธิผล,FALSE,en,,,,,,
18686415,dd|digital_capabilities_design_thinking,แปลภาษาไทยไม่รู้เรื่อง,FALSE,en,,,,,,
18686636,ctt|comments,ในปัจจุบันมีเครื่องมือและทางเลือกให้ใช้เป็นจำนวนมากทำให้สามารถเลือกใช้เครื่องมือได้หลากหลายมากขึ้นและต้องมีการศึกษาเพิ่มเติมอยู่ตลอดเวลา,FALSE,en,,,,,,
18686358,ctt|comments,-,FALSE,en,,,,,,
18686681,ctt|comments,n/a,FALSE,en,,,,,,
18686755,ctt|comments,-,FALSE,en,,,,,,
18686722,ctt|comments,-,FALSE,en,,,,,,
18686613,ctt|comments,เราต้องเปลี่ยนแปลง และพัฒนาตัวเองเสมอเพื่อให้ทันโลก,FALSE,en,,,,,,
18686768,ctt|comments,awareness in cyber security is so important to our system/product that we develop,FALSE,en,,,,,,
18686586,ctt|comments,-,FALSE,en,,,,,,
18686714,ctt|comments,-,FALSE,en,,,,,,
18686572,ctt|comments,"องค์กรมีแนวทาง และความตั้งใจในการมุ่งไปสู่ ความเป็น digitalized organization แต่ความพร้อมในแง่มุมต่างๆเช่น process, system รวมถึง culture หลายอย่าง ยังไม่สอดคล้องกับแนวทาง ทำให้ way of working, speed, impact, priority ยังมีความกำกึ่ง และขึ้นอยู่กับตัวผู้ที่เกี่ยวข้องกับงานนั้นๆ มากกว่า",FALSE,en,,,,,,
18686388,ctt|comments,-,FALSE,en,,,,,,
18686456,ctt|comments,-,FALSE,en,,,,,,
18686556,dd|digital_capabilities_design_thinking,ยึดตามกลุ่มเป้าหมาย,FALSE,en,,,,,,
18686521,ctt|comments,N/A,FALSE,en,,,,,,
18686824,ctt|comments,-,FALSE,en,,,,,,
18686822,ctt|comments,อยากให้มีการ traning เนื่องจากระบบมีการเปลี่ยนแปลงอย่างต่อเนื่องในทุกวัน,FALSE,en,,,,,,
18686881,ctt|comments,เป็นสิ่งที่ดี,FALSE,en,,,,,,
18686587,ctt|comments,"These days, changes are happening increasingly quickly, and while I am open to change and can adapt to new technologies, it can feel exhausting to constantly chase after new developments. It's not that I intend to stop learning, as doing so could lead to career stagnation, potentially leaving me surpassed by robots or more hardworking colleagues. Nevertheless, it can be tiring to continuously keep pace by learning new things, adapting to changes, remaining open to disruptive technologies, and integrating them into our business.

What I would like to see more from the organization is the acknowledgment of the tremendous effort we put into our work today. In addition to the work itself and its impact on the organization, recognizing licenses, official certificates, and rewarding employees who continually improve themselves can be a motivating factor for us to keep learning.",FALSE,en,,,,,,
18686446,ctt|comments,เทคโนโลยีในปัจจุบนี้ค่อนข้างเปลี่ยนไปอย่างรวดเร็ว การธนาคารจึงต้องปรับเปลี่ยน ปรับปรุงให้เท่ากันยุดสมัยอยู่เสมอ จึงเป็นเรื่องท้าทายสำหรับพนักงานในองค์กร ที่ต้องพัฒนาตัวเองให้ไว ให้ดี เท่ากันเทคโนโลยี เพื่อนำมาใช้ในงานให้เกิดประโยชน์สูงสุดแก่ธนาคารและลูกค้า ในฐานะพนักงานยอมรับว่ามีความกดดันและความเครียดค่อนข้างสูงแต่จะพยายามอย่างสุดความสามารถค่ะ,FALSE,en,,,,,,
18686740,ctt|comments,ทุกการเปลี่ยนแปลงมีราคาที่ต้องจ่าย ทั้งนายจ้างและลูกจ้าง แต่เพื่อให้องค์กรเดินหน้าดีขึ้น ทุกคนต้องปรับตัว,FALSE,en,,,,,,
18686382,dd|growth_mindset_challenges,ถ้ากรอบเวลาสมเหตุสมผล,FALSE,en,,,,,,
18686525,ctt|comments,องค์กรควรมีคอร์สเพื่อส่งเสิรมทักษะด้านดิจิทัลให้มากกว่านี้,FALSE,en,,,,,,
18686329,ctt|comments,อยากให้องค์กรณ์เห็นความสำคัญของอุปกรณ์ที่พนักงานใช้ในการทำงานมากขึ้น พนักงานบางคนคอมพิวเตอร์ไม่พร้อมใช้ในการทำงาน แต่การขอเปลี่ยน/ซ่อมทำได้ยากมาก,FALSE,en,,,,,,
18686404,ctt|comments,N/A,FALSE,en,,,,,,
18686668,ctt|comments,"ปัจจุบัน AI เข้ามามีบทบาทมากขึ้นอย่างรวดเร็ว
เป็นเรื่องน่าตื่นเต้น",FALSE,en,,,,,,
18686680,ctt|comments,-,FALSE,en,,,,,,
18686352,ctt|comments,-,FALSE,en,,,,,,
18686605,ctt|comments,ล่มแล้วลุกให้เร็ว วิ่งไปข้างหน้า,FALSE,en,,,,,,
18686346,ctt|comments,i have no comments.,FALSE,en,,,,,,
18686475,ctt|comments,-,FALSE,en,,,,,,
18686480,ctt|comments,เรียนรู้เทคโนโลยีใหม่ ตลอดเวลา,FALSE,en,,,,,,
18686522,ctt|comments,เห็นด้วย เนื่องจากทำให้ประสิทธิภาพของงาน ครบถ้วน รวดเร็ว ถูกต้องและลดความซ้ำซ้อนของคนในองค์กร และช่วยพัฒนาบุคคลากรให้ทำงานที่ตรงจุดมากขึ้น,FALSE,en,,,,,,
18686331,ctt|comments,อยากให้มีอบรม ความรู้หลายๆด้านมากขึ้น,FALSE,en,,,,,,
18686625,ctt|comments,-,FALSE,en,,,,,,
18686818,ctt|comments,-,FALSE,en,,,,,,
18686797,ctt|comments,"- อยากให้พัฒนาด้านการสร้าง ownership ให้แก่พนักงาน 
- สื่อสารเป้าหมายองค์กรที่เปรียบเสมือนดาวเหนือให้แก่พนักงาน",FALSE,en,,,,,,
18686820,ctt|comments,I wish this company would drive with business goal base on data more than just emotion or use power to force.  and having leader that mature enough to give advices with positive reinforcement not to discriminated and disrespect others even they have lower position.,FALSE,en,,,,,,
18686426,ctt|comments,-,FALSE,en,,,,,,
18686767,ctt|comments,it's growing,FALSE,en,,,,,,
18686857,ctt|comments,-,FALSE,en,,,,,,
18686686,ctt|comments,-,FALSE,en,,,,,,
18686428,ctt|comments,การเปลี่ยนแปลง เป็นสิ่งที่เกิดขึ้นตลอดเวลา และหลีกเลี่ยงไม่ได้ ทุกคนในองค์กรต้องรู้จักปรับตัวตาม และเรียนรู้วิธีการที่จะรับมือ สิ่งที่อาจจะเปลี่ยนแปลงแล้วมีผลกระทบต่อตัวเอง,FALSE,en,,,,,,
18686386,ctt|comments,เทคโนโลยีดิจิทัลใหม่ๆจะสามารถช่วยให้องค์กรณ์เติบโตเร็วขึ้นได้หากทุกคนเปิดใจเรียนรู้,FALSE,en,,,,,,
